Origem,Destino,Tempo,,,,
Tucuruvi,Parada Inglesa,2,,,,
Parada Inglesa,Jardim São Paulo-Ayrton Senna,2,,,,
Jardim São Paulo-Ayrton Senna,Santana,2,,,,
Santana,Carandiru,2,,,,
Carandiru,Portuguesa-Tietê,2,,,,
Portuguesa-Tietê,Armênia,2,,,,
Armênia,Tiradentes,2,,,,
Tiradentes,Luz,2,,,,
Luz,São Bento,2,,,,
São Bento,Sé,2,,,,
Sé,Japão-Liberdade,1,,,,
Japão-Liberdade,São Joaquim,1,,,,
São Joaquim,Vergueiro,2,,,,
Vergueiro,Paraíso,2,,,,
Paraíso,Ana Rosa,1,,,,
Ana Rosa,Vila Mariana,2,,,,
Vila Mariana,Santa Cruz,3,,,,
Santa Cruz,Praça da Árvore,3,,,,
Praça da Árvore,Saúde,2,,,,ia
Saúde,São Judas,1,,,,
São Judas,Conceição,3,,,,
Conceição,Jabaquara,3,,,,
Vila Madalena,S. N. Sra. de Fátima-Sumaré,2,,,,
S. N. Sra. de Fátima-Sumaré,Clínicas,2,,,,
Clínicas,Paulista,2,,,,
Paulista,Consolação,4,,,,
Consolação,Trianon-Masp,2,,,,
Trianon-Masp,Brigadeiro,2,,,,
Brigadeiro,Paraíso,2,,,,
Ana Rosa,Chácara Klabin,4,,,,
Chácara Klabin,Santos-Imigrantes,2,,,,
Santos-Imigrantes,Alto do Ipiranga,2,,,,
Alto do Ipiranga,Sacomã,2,,,,
Sacomã,Tamanduateí,2,,,,
Tamanduateí,Vila Prudente,3,,,,
Palmeiras-Barra Funda,Marechal Deodoro,3,,,,
Marechal Deodoro,Santa Cecília,2,,,,
Santa Cecília,República,2,,,,
República,Anhangabaú,1,,,,
Anhangabaú,Sé,3,,,,
Sé,Pedro II,2,,,,
Pedro II,Brás,3,,,,
Brás,Bresser-Mooca,2,,,,
Bresser-Mooca,Belém,3,,,,
Belém,Tatuapé,3,,,,
Tatuapé,Carrão-Assaí Atacadista,3,,,,
Carrão-Assaí Atacadista,Penha,5,,,,
Penha,Vila Matilde,3,,,,
Vila Matilde,Guilhermina-Esperança,4,,,,
Guilhermina-Esperança,Patriarca-Vila Ré,3,,,,
Patriarca-Vila Ré,Artur Alvim,5,,,,
Artur Alvim,Corinthians Itaquera,4,,,,
Luz,República,2,,,,
República,Higienópolis-Mackenzie,2,,,,
Higienópolis-Mackenzie,Paulista ,2,,,,
Paulista ,Oscar Freire,3,,,,
Oscar Freire,Fradique Coutinho,2,,,,
Fradique Coutinho,Faria Lima,1,,,,
Faria Lima,Pinheiros,1,,,,
Pinheiros,Butantã,1,,,,
Butantã,São Paulo-Morumbi,3,,,,
São Paulo-Morumbi,Vila Sônia,2,,,,
Capão Redondo,Campo Limpo,2,,,,
Campo Limpo,Vila das Belezas,3,,,,
Vila das Belezas,Giovanni Gronchi,2,,,,
Giovanni Gronchi,Santo Amaro,3,,,,
Santo Amaro,Largo Treze,2,,,,
Largo Treze,Adolfo Pinheiro,2,,,,
Adolfo Pinheiro,Alto da Boa Vista,3,,,,
Alto da Boa Vista,Borba Gato,2,,,,
Borba Gato,Brooklin,1,,,,
Brooklin,Campo Belo,2,,,,
Campo Belo,Eucaliptos,3,,,,
Eucaliptos,Moema,3,,,,
Moema,AACD-Servidor,2,,,,
AACD-Servidor,Hospital São Paulo,1,,,,
Hospital São Paulo,Santa Cruz,2,,,,
Santa Cruz,Chácara Klabin,1,,,,
Jundiaí,Várzea Paulista,5,,,,
Várzea Paulista,Campo Limpo Paulista,7,,,,
Campo Limpo Paulista,Botujuru,5,,,,
Botujuru,Francisco Morato,7,,,,
Francisco Morato,Baltazar Fidélis,7,,,,
Baltazar Fidélis,Franco da Rocha,3,,,,
Franco da Rocha,Caieiras,8,,,,
Caieiras,Perus,5,,,,
Vila Aurora,Jaraguá,8,,,,
Jaraguá,Vila Clarice,4,,,,
Vila Clarice,Pirituba,4,,,,
Pirituba,Piqueri,3,,,,
Piqueri,Lapa,3,,,,
Lapa,Água Branca,3,,,,
Água Branca,Palmeiras Barra Funda,5,,,,
Itapevi,Engenheiro Cardoso,2,,,,
Engenheiro Cardoso,Sagrado Coração,2,,,,
Sagrado Coração,Jandira,3,,,,
Jandira,Jardim SIlveira,1,,,,
Jardim SIlveira,Jardim Belval,2,,,,
Jardim Belval,Barueri,4,,,,
Barueri,Antônio João,2,,,,
Antônio João,Santa Terezinha,2,,,,
Santa Terezinha,Carapicuíba,3,,,,
Carapicuíba,Gen. Miguel Costa,3,,,,
Gen. Miguel Costa,Quintaúna,3,,,,
Quintaúna,Com.Sampaio,2,,,,
Com.Sampaio,Osasco,5,,,,
Osasco,Presidente Altino,3,,,,
